method,task,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,nmi,cluster_purity,algorithm
,medium,0.0526133440434932,144.50964936395349,3.096144714282308,0.0848326890374224,0.0649916573874221,0.5800182204676587,kmeans
,medium,0.0350533723831176,111.17077159957536,3.698796936159202,0.086894237066062,0.0536574760730306,0.5818402672335257,agglomerative
CVAE + K-Means,hard,0.0871763452887535,172.09977157738967,2.8824584951987604,0.1450926387501243,0.060168802542827,0.5800182204676587,
Autoencoder + K-Means,hard,0.196663036942482,750.6552421104394,1.807610687285614,0.1198213161518056,0.0556236603064231,0.5800182204676587,
PCA + K-Means,hard,0.2316714376211166,1210.699480935732,1.522689730201713,0.101235780941993,0.0522507623866652,0.5800182204676587,
Direct Spectral + K-Means,hard,0.2316714376211166,1210.699480935732,1.522689730201713,0.101235780941993,0.0522507623866652,0.5800182204676587,
,medium,0.0536450892686843,134.33286526247414,3.146061872891638,0.0863737420576989,0.0412765007267155,0.5800182204676587,kmeans
,medium,0.073405273258686,97.0876377017268,3.6378126123256314,0.1594397715574908,0.0526575837928802,0.5809292438505922,agglomerative
CVAE + K-Means,hard,0.051772672683000565,159.215971414508,3.0593697503634005,0.06584063406168661,0.03819775581312716,0.5800182204676587,
Autoencoder + K-Means,hard,0.16330435872077942,681.2252214889049,1.8962738653689433,0.10187923620551051,0.05244415024450629,0.5800182204676587,
PCA + K-Means,hard,0.23167143762111664,1210.699480935732,1.522689730201713,0.10123578094199305,0.052250762386665296,0.5800182204676587,
Direct Spectral + K-Means,hard,0.23167143762111664,1210.699480935732,1.522689730201713,0.10123578094199305,0.052250762386665296,0.5800182204676587,
